ImageFlag,ID,x3D (m),y3D (m),z3D (m)
,1,-0.4486,-0.2754,2.9855
,1,-0.4346,-0.3594,2.9604
,1,-0.0578,0.2309,3.1111
,1,0.0264,-0.0516,3.1249
,1,0.0725,-0.2583,3.0307
,1,0.0766,-0.3308,3.0043
,1,-0.2725,-0.1863,3.0366
,1,-0.2578,-0.7462,3.0826
,1,-0.2284,-1.0981,3.0554
,1,-0.2429,-1.1522,2.9839
,1,-0.1174,-0.1721,3.0499
,1,-0.0529,-0.6944,3.0228
,1,-0.0473,-1.0738,3.1057
,1,-0.0048,-1.1189,3.0394
017-14,6,-0.0486,0.0467,3.8956
,6,-0.0398,0.1211,3.9329
,6,-0.0645,0.5176,3.9295
,6,-0.0459,0.6965,3.9417
,6,-0.22,0.3861,3.9242
,6,-0.2656,0.1116,3.8886
,6,-0.2969,-0.1073,3.8635
,6,-0.283,-0.1926,3.8415
,6,0.0409,0.3992,3.848
,6,0.2059,0.2165,3.954
,6,0.0942,0.4402,3.8849
,6,0.057,0.5148,3.8668
,6,-0.1213,-0.0214,3.9174
,6,-0.1507,-0.648,3.9364
,6,-0.1333,-1.0477,3.9766
,6,-0.1346,-1.1148,3.9018
,6,0.0259,-0.0093,3.8593
,6,0.0997,-0.6283,3.9219
,6,0.1139,-1.048,3.9577
,6,0.1248,-1.1126,3.8981
019-14,3,-0.0286,0.1035,3.387
,3,-0.0303,0.1767,3.4295
,3,-0.0426,0.5629,3.4132
,3,-0.0382,0.7466,3.357
,3,-0.2197,0.4638,3.4231
,3,-0.2784,0.1687,3.4076
,3,-0.2858,-0.0835,3.3253
,3,-0.2753,-0.1676,3.3137
,3,0.137,0.4559,3.4193
,3,0.2149,0.1471,3.4445
,3,0.2411,-0.1097,3.3896
,3,0.2357,-0.1986,3.365
,3,-0.1078,0.023,3.3778
,3,-0.1384,-0.5026,3.4539
,3,-0.1187,-0.8965,3.5179
,3,-0.1351,-0.9695,3.48
,3,0.054,0.0238,3.3815
,3,0.0955,-0.4859,3.4453
,3,0.1051,-0.89,3.497
,3,0.1057,-0.9404,3.4239
021-14,1,-0.055,0.2116,3.3078
,1,-0.0634,0.2897,3.3339
,1,-0.083,0.6886,3.3125
,1,-0.1125,0.8864,3.2625
,1,-0.2675,0.5555,3.3131
,1,-0.3193,0.2507,3.3525
,1,-0.325,-0.0137,3.2984
,1,-0.3208,-0.1279,3.2784
,1,0.1037,0.586,3.3616
,1,0.19,0.2892,3.4226
,1,0.216,0.0244,3.4336
,1,0.242,-0.0887,3.4324
,1,-0.1334,0.1233,3.2939
,1,-0.1817,-0.5224,3.376
,1,-0.1529,-0.9378,3.4543
,1,-0.1578,-1.0106,3.3836
,1,0.0335,0.1313,3.3156
,1,0.1079,-0.5141,3.4171
,1,0.1142,-0.9263,3.5282
,1,0.1414,-1.008,3.4812
022-14,1,0.2344,0.2268,3.3613
,1,0.2377,0.2986,3.3735
,1,0.2453,0.6611,3.3616
,1,0.2464,0.8535,3.313
